,hire_date,user_id,book_id,due_date,hire_type,id_y,price,return_date,status,barcode,title_id
126,2018-06-19 00:00:00+00:00,44,53639-90,2018-06-26 00:00:00+00:00,3,130,25000.0,2018-06-19 14:57:48+00:00,1,53639-90,2
127,2018-06-29 00:00:00+00:00,23,53359-70,2018-07-06 00:00:00+00:00,3,131,15453.0,2018-06-29 13:28:21+00:00,1,53359-70,30
128,2018-06-29 00:00:00+00:00,23,021022200,2018-07-06 00:00:00+00:00,3,132,23400.0,2018-06-29 13:35:26+00:00,1,021022200,142
129,2018-07-05 00:00:00+00:00,76,021022507,2018-07-12 00:00:00+00:00,3,133,25000.0,2018-07-11 12:08:28+00:00,1,021022507,152
130,2018-07-14 00:00:00+00:00,32,58588-60,2018-07-21 00:00:00+00:00,3,134,20048.5,2018-07-21 13:11:44+00:00,1,58588-60,66
131,2018-09-10 00:00:00+00:00,58,021022779,2019-02-15 00:00:00+00:00,2,135,100000.0,2019-01-22 10:19:37+00:00,1,021022779,163
132,2018-09-13 00:00:00+00:00,39,58584-160,2019-02-15 00:00:00+00:00,2,136,73124.0,2019-01-22 12:19:39+00:00,1,58584-160,88
133,2018-09-13 00:00:00+00:00,39,53613-70,2019-02-15 00:00:00+00:00,2,137,52217.0,2019-01-25 08:32:12+00:00,1,53613-70,106
134,2018-09-13 00:00:00+00:00,73,53359-60,2019-02-15 00:00:00+00:00,2,138,61812.0,2019-01-21 09:28:30+00:00,1,53359-60,30
135,2018-09-15 00:00:00+00:00,39,53698-80,2019-02-15 00:00:00+00:00,2,139,46864.0,2019-01-14 15:20:48+00:00,1,53698-80,12
136,2018-09-17 00:00:00+00:00,39,53394-80,2019-02-15 00:00:00+00:00,2,140,100000.0,2019-01-07 13:02:14+00:00,1,53394-80,120
137,2018-09-17 00:00:00+00:00,89,021022408,2019-02-15 00:00:00+00:00,2,141,100000.0,2019-02-15 10:39:09+00:00,1,021022408,157
138,2018-09-17 00:00:00+00:00,17,53659-70,2018-09-24 00:00:00+00:00,3,142,12675.5,2018-09-22 12:05:33+00:00,1,53659-70,102
139,2018-09-25 00:00:00+00:00,1,58594-60,2019-02-15 00:00:00+00:00,2,143,65751.0,2018-09-25 13:11:01+00:00,1,58594-60,50
140,2018-09-25 00:00:00+00:00,1,58594-60,2019-02-15 00:00:00+00:00,2,144,65751.0,2018-10-03 11:34:02+00:00,1,58594-60,50
141,2018-09-25 00:00:00+00:00,103,021021891,2019-02-15 00:00:00+00:00,2,145,100000.0,2019-01-16 09:46:45+00:00,1,021021891,112
142,2018-10-03 00:00:00+00:00,1,58601-80,2019-02-15 00:00:00+00:00,2,146,69488.0,2019-01-16 12:12:13+00:00,1,58601-80,21
143,2018-10-30 00:00:00+00:00,50,53698-90,2018-11-06 00:00:00+00:00,3,147,11716.0,2018-11-05 14:35:17+00:00,1,53698-90,12
144,2018-10-31 00:00:00+00:00,1,53613-80,2019-02-15 00:00:00+00:00,2,148,52217.0,2019-01-22 15:02:56+00:00,1,53613-80,106
145,2018-10-31 00:00:00+00:00,1,53613-60,2019-02-15 00:00:00+00:00,2,149,52217.0,2019-01-22 15:01:46+00:00,1,53613-60,106
146,2018-10-31 00:00:00+00:00,1,53613-160,2019-02-15 00:00:00+00:00,2,150,52217.0,2019-01-22 15:01:05+00:00,1,53613-160,106
147,2018-11-01 00:00:00+00:00,73,53601-60,2019-02-15 00:00:00+00:00,2,151,80598.0,2019-01-21 09:28:44+00:00,1,53601-60,64
148,2018-11-02 00:00:00+00:00,79,53613-180,2019-02-15 00:00:00+00:00,2,152,52217.0,2019-01-22 15:02:24+00:00,1,53613-180,106
149,2018-11-02 00:00:00+00:00,79,53682-80,2019-02-15 00:00:00+00:00,2,153,86557.0,2019-01-22 15:04:37+00:00,1,53682-80,63
150,2018-11-02 00:00:00+00:00,23,53538-150,2018-11-09 00:00:00+00:00,3,154,12221.0,2018-11-02 15:00:40+00:00,1,53538-150,6
151,2018-11-06 00:00:00+00:00,89,54396-90,2019-02-15 00:00:00+00:00,2,155,100000.0,2019-02-15 10:39:39+00:00,1,54396-90,129
152,2018-11-07 00:00:00+00:00,86,021021893,2018-11-14 00:00:00+00:00,3,156,25000.0,2018-11-07 13:43:15+00:00,1,021021893,112
153,2018-11-03 00:00:00+00:00,108,53394-70,2018-11-10 00:00:00+00:00,3,157,25000.0,2018-11-08 11:22:26+00:00,1,53394-70,120
154,2018-11-08 00:00:00+00:00,42,58583-70,2018-11-15 00:00:00+00:00,3,158,16538.75,2018-11-12 09:56:57+00:00,1,58583-70,100
155,2019-01-03 00:00:00+00:00,91,021022407,2019-01-10 00:00:00+00:00,3,160,25000.0,2019-01-03 11:06:46+00:00,1,021022407,157
156,2019-01-14 00:00:00+00:00,46,58583-70,2019-01-21 00:00:00+00:00,3,162,16538.75,2019-01-15 09:46:46+00:00,1,58583-70,100
